Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NEFR Launch New Form ,Firefox 58.0,Testing of Alex Campus NEFR forms,2018-02-26 16:52:00,2018-02-26 17:01:57,9m - 56.543s,FAILED
,,,,,,
Test Cases/MY DETAILS TAB TEST,Firefox 58.0,,2018-02-26 16:52:01,2018-02-26 16:52:53,52.197s,FAILED
openBrowser,Firefox 58.0,,2018-02-26 16:52:02,2018-02-26 16:52:14,11.804s,PASSED
maximizeWindow,Firefox 58.0,,2018-02-26 16:52:14,2018-02-26 16:52:18,3.741s,PASSED
navigateToUrl,Firefox 58.0,,2018-02-26 16:52:18,2018-02-26 16:52:18,0.566s,PASSED
waitForPageLoad,Firefox 58.0,,2018-02-26 16:52:18,2018-02-26 16:52:19,0.238s,PASSED
waitForElementPresent,Firefox 58.0,,2018-02-26 16:52:19,2018-02-26 16:52:19,0.080s,PASSED
setText,Firefox 58.0,,2018-02-26 16:52:19,2018-02-26 16:52:19,0.736s,PASSED
click,Firefox 58.0,,2018-02-26 16:52:19,2018-02-26 16:52:21,1.238s,PASSED
waitForPageLoad,Firefox 58.0,,2018-02-26 16:52:21,2018-02-26 16:52:21,0.019s,PASSED
verifyElementPresent,Firefox 58.0,,2018-02-26 16:52:21,2018-02-26 16:52:24,3.654s,FAILED
delay,Firefox 58.0,,2018-02-26 16:52:24,2018-02-26 16:52:26,2.037s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Test Link Page_IFrame/input_j_username), 0))",Firefox 58.0,,2018-02-26 16:52:26,2018-02-26 16:52:51,24.650s,FAILED
Statement - applicantAdd = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Applicant Tab/Main Residential Address Field )),Firefox 58.0,,2018-02-26 16:52:51,2018-02-26 16:52:51,0.143s,FAILED
click,Firefox 58.0,,2018-02-26 16:52:51,2018-02-26 16:52:51,0.076s,FAILED
verifyElementText,Firefox 58.0,,2018-02-26 16:52:51,2018-02-26 16:52:51,0.066s,FAILED
verifyElementAttributeValue,Firefox 58.0,,2018-02-26 16:52:51,2018-02-26 16:52:51,0.057s,FAILED
verifyElementText,Firefox 58.0,,2018-02-26 16:52:51,2018-02-26 16:52:51,0.048s,FAILED
verifyElementAttributeValue,Firefox 58.0,,2018-02-26 16:52:51,2018-02-26 16:52:51,0.044s,FAILED
